items,item_count,support,customers,churn_rate
Transaction_Amount_Level_High + Transaction_Count_Level_High + Marital_Status_Married,3,0.10526315789473684,1066,0.01876172607879925
Education_Level_Uneducated + Inactivity_Level_Moderate,2,0.10486817418781476,1062,0.18361581920903955
Transaction_Count_Level_Medium + Utilization_Level_Medium,2,0.10486817418781476,1062,0.059322033898305086
Transaction_Amount_Level_High + Age_Group_Middle + Marital_Status_Married,3,0.10467068233435371,1060,0.07547169811320754
Utilization_Level_Low + Age_Group_Middle + Marital_Status_Married,3,0.10447319048089267,1058,0.2948960302457467
Transaction_Amount_Level_High + Education_Level_Graduate,2,0.10447319048089267,1058,0.08412098298676748
Income_Category_$80K - $120K + Age_Group_Middle,2,0.10447319048089267,1058,0.16446124763705103
Utilization_Level_Medium + Transaction_Amount_Level_Medium,2,0.10447319048089267,1058,0.035916824196597356
Transaction_Count_Level_Low + Marital_Status_Single,2,0.10437444455416214,1057,0.49290444654683063
Utilization_Level_Medium + Inactivity_Level_Moderate + Marital_Status_Married,3,0.10427569862743162,1056,0.09659090909090909
Education_Level_Graduate + Utilization_Level_Medium,2,0.10407820677397057,1054,0.09013282732447818
Utilization_Level_Low + Inactivity_Level_Moderate + Marital_Status_Married,3,0.10397946084724005,1053,0.3513770180436847
Transaction_Amount_Level_Low + Marital_Status_Single,2,0.10358447714031796,1049,0.40324118207816967
Education_Level_Graduate + Utilization_Level_High,2,0.10309074750666535,1044,0.08237547892720307
Transaction_Count_Level_High + Age_Group_Middle + Marital_Status_Married,3,0.10299200157993482,1043,0.012464046021093002
Transaction_Amount_Level_Low + Transaction_Count_Level_Low + Utilization_Level_Medium,3,0.10299200157993482,1043,0.19463087248322147
Income_Category_Less than $40K + Marital_Status_Single + Inactivity_Level_Moderate,3,0.1028932556532043,1042,0.19865642994241842
Education_Level_Unknown + Inactivity_Level_Moderate,2,0.10279450972647378,1041,0.20076849183477424
Education_Level_Graduate + Inactivity_Level_Moderate + Marital_Status_Married,3,0.10279450972647378,1041,0.17098943323727187
Age_Group_Young + Marital_Status_Single,2,0.10259701787301274,1039,0.14340712223291627
Transaction_Amount_Level_Low + Income_Category_Less than $40K,2,0.10220203416609065,1035,0.4
Utilization_Level_High + Transaction_Count_Level_Low,2,0.1020045423126296,1033,0.2526621490803485
Education_Level_Graduate + Utilization_Level_Low,2,0.10170830453243804,1030,0.2970873786407767
Education_Level_Graduate + Transaction_Count_Level_High,2,0.10170830453243804,1030,0.013592233009708738
Age_Group_Young + Marital_Status_Married,2,0.10160955860570751,1029,0.1360544217687075
Utilization_Level_High + Transaction_Amount_Level_Low,2,0.10151081267897699,1028,0.19941634241245138
Utilization_Level_Low + Marital_Status_Single + Inactivity_Level_Moderate,3,0.10062209933840228,1019,0.3297350343473994
Education_Level_Graduate + Transaction_Count_Level_Medium,2,0.10032586155821073,1016,0.0797244094488189
Transaction_Count_Level_Low + Age_Group_Middle + Marital_Status_Married,3,0.10022711563148021,1015,0.4
Income_Category_Less than $40K + Age_Group_Middle + Marital_Status_Married,3,0.10022711563148021,1015,0.1852216748768473
Education_Level_College,1,0.10002962377801916,1013,0.15202369200394866
Age_Group_Middle + Marital_Status_Married + Transaction_Amount_Level_Medium,3,0.0993384022909055,1006,0.08648111332007952
Education_Level_Graduate + Transaction_Amount_Level_Medium,2,0.09914091043744445,1004,0.0647410358565737
Income_Category_$60K - $80K + Inactivity_Level_Moderate,2,0.09884467265725289,1001,0.15484515484515485
Utilization_Level_Medium + Age_Group_Middle + Marital_Status_Married,3,0.09815345117013922,994,0.08551307847082495
Utilization_Level_Low + Transaction_Count_Level_High,2,0.0975609756097561,988,0.04149797570850203
Age_Group_Middle + Education_Level_Unknown,2,0.09736348375629506,986,0.17545638945233266
Utilization_Level_Low + Transaction_Count_Level_Low + Inactivity_Level_Moderate,3,0.09637602448898983,976,0.6629098360655737
Transaction_Amount_Level_High + Marital_Status_Single + Inactivity_Level_Moderate,3,0.0962772785622593,975,0.12
Utilization_Level_High + Age_Group_Middle + Marital_Status_Married,3,0.09617853263552878,974,0.09753593429158111
Transaction_Count_Level_Medium + Age_Group_Middle + Marital_Status_Married,3,0.09558605707514566,968,0.07541322314049587
Transaction_Amount_Level_High + Marital_Status_Single + Transaction_Count_Level_High,3,0.09519107336822356,964,0.03112033195020747
Transaction_Amount_Level_High + Inactivity_Level_Moderate + Marital_Status_Married,3,0.09509232744149304,963,0.10384215991692627
Education_Level_Graduate + Transaction_Amount_Level_Low + Transaction_Count_Level_Low,3,0.094894835588032,961,0.331945889698231
Marital_Status_Single + Inactivity_Level_Moderate + Transaction_Count_Level_High,3,0.094894835588032,961,0.021852237252861603
Transaction_Amount_Level_Low + Age_Group_Middle + Marital_Status_Married,3,0.09479608966130147,960,0.3385416666666667
Transaction_Count_Level_Medium + Marital_Status_Single + Transaction_Amount_Level_Medium,3,0.0944998518811099,957,0.01044932079414838
Education_Level_High School + Marital_Status_Married,2,0.09370988446726572,949,0.14436248682824027
Education_Level_Graduate + Age_Group_Middle + Marital_Status_Married,3,0.09321615483361312,944,0.15466101694915255
Age_Group_Young + Transaction_Amount_Level_Low,2,0.09291991705342155,941,0.21679064824654623
Inactivity_Level_Moderate + Marital_Status_Married + Transaction_Amount_Level_Medium,3,0.09124123629900266,924,0.10822510822510822
Transaction_Count_Level_High + Inactivity_Level_Moderate + Marital_Status_Married,3,0.09114249037227215,923,0.01950162513542795
Education_Level_Uneducated + Age_Group_Middle,2,0.09104374444554163,922,0.1681127982646421
Transaction_Amount_Level_Low + Income_Category_Less than $40K + Transaction_Count_Level_Low,3,0.09074750666535006,919,0.4309031556039173
Utilization_Level_Low + Income_Category_Less than $40K,2,0.09045126888515849,916,0.3777292576419214
Transaction_Count_Level_Medium + Inactivity_Level_Moderate + Marital_Status_Married,3,0.09035252295842797,915,0.10382513661202186
Transaction_Amount_Level_High + Transaction_Count_Level_Medium,2,0.09025377703169744,914,0.23194748358862144
Utilization_Level_High + Transaction_Count_Level_Low + Transaction_Amount_Level_Low,3,0.0896613014713143,908,0.21585903083700442
Marital_Status_Single + Inactivity_Level_Moderate + Utilization_Level_Medium,3,0.08956255554458378,907,0.11466372657111357
Income_Category_$60K - $80K + Age_Group_Middle,2,0.08936506369112274,905,0.12375690607734807
Utilization_Level_Low + Inactivity_Level_Moderate + Transaction_Amount_Level_Low,3,0.08877258813073961,899,0.5951056729699666
Utilization_Level_High + Marital_Status_Single + Inactivity_Level_Moderate,3,0.08847635035054804,896,0.11160714285714286
Age_Group_Old + Inactivity_Level_Moderate,2,0.08837760442381752,895,0.13519553072625698
Transaction_Amount_Level_High + Income_Category_Less than $40K + Transaction_Count_Level_High,3,0.08808136664362595,892,0.014573991031390135
Inactivity_Level_Moderate + Age_Group_Middle + Education_Level_High School,3,0.08739014515651229,885,0.18531073446327684
Utilization_Level_Medium + Transaction_Amount_Level_High + Transaction_Count_Level_High,3,0.08739014515651229,885,0.014689265536723164
Income_Category_Less than $40K + Inactivity_Level_Moderate + Transaction_Amount_Level_Medium,3,0.08719265330305125,883,0.11778029445073612
Age_Group_Young + Income_Category_Less than $40K,2,0.0869951614495902,881,0.1532349602724177
Transaction_Amount_Level_Low + Transaction_Count_Level_Low + Marital_Status_Single,3,0.0869951614495902,881,0.4642451759364359
Transaction_Amount_Level_High + Age_Group_Middle + Marital_Status_Single,3,0.08679766959612915,879,0.09556313993174062
Utilization_Level_High + Income_Category_Less than $40K + Marital_Status_Married,3,0.08630393996247655,874,0.08237986270022883
Transaction_Amount_Level_High + Income_Category_Less than $40K + Inactivity_Level_Moderate,3,0.08620519403574603,873,0.07216494845360824
Transaction_Count_Level_High + Transaction_Amount_Level_Medium,2,0.08610644810901551,872,0.0
Age_Group_Young + Utilization_Level_High,2,0.08561271847536289,867,0.0784313725490196
Age_Group_Young + Transaction_Count_Level_Low,2,0.08531648069517132,864,0.2881944444444444
Transaction_Count_Level_Medium + Income_Category_Less than $40K + Inactivity_Level_Moderate,3,0.0852177347684408,863,0.07879490150637311
Age_Group_Middle + Marital_Status_Single + Transaction_Amount_Level_Medium,3,0.08462525920805766,857,0.057176196032672114
Education_Level_Graduate + Marital_Status_Single + Inactivity_Level_Moderate,3,0.08423027550113558,853,0.19226260257913247
Income_Category_Less than $40K + Inactivity_Level_Moderate + Transaction_Count_Level_High,3,0.08294657845363879,840,0.013095238095238096
Marital_Status_Single + Inactivity_Level_Few,2,0.08284783252690826,839,0.060786650774731825
Utilization_Level_Low + Age_Group_Middle + Marital_Status_Single,3,0.0825515947467167,836,0.31220095693779903
Transaction_Count_Level_Medium + Age_Group_Middle + Marital_Status_Single,3,0.08245284881998617,835,0.07904191616766468
Age_Group_Young + Transaction_Count_Level_Medium,2,0.08245284881998617,835,0.08982035928143713
Marital_Status_Single + Age_Group_Middle + Transaction_Count_Level_High,3,0.08225535696652513,833,0.01800720288115246
Utilization_Level_Low + Transaction_Count_Level_Low + Age_Group_Middle,3,0.08225535696652513,833,0.6458583433373349
Transaction_Amount_Level_High + Income_Category_Less than $40K + Age_Group_Middle,3,0.08186037325960305,829,0.05307599517490953
Utilization_Level_Low + Transaction_Count_Level_Medium + Inactivity_Level_Moderate,3,0.081662881406142,827,0.1837968561064087
Income_Category_Less than $40K + Utilization_Level_Medium,2,0.08156413547941148,826,0.1198547215496368
Education_Level_Graduate + Transaction_Count_Level_Low + Inactivity_Level_Moderate,3,0.08146538955268096,825,0.39636363636363636
Transaction_Amount_Level_High + Inactivity_Level_Few,2,0.08116915177248939,822,0.032846715328467155
Utilization_Level_High + Inactivity_Level_Moderate + Transaction_Amount_Level_Medium,3,0.08116915177248939,822,0.07420924574209246
Transaction_Amount_Level_Low + Inactivity_Level_Moderate + Utilization_Level_Medium,3,0.0807741680655673,818,0.18581907090464547
Income_Category_Less than $40K + Transaction_Count_Level_Low + Inactivity_Level_Moderate,3,0.0807741680655673,818,0.5281173594132029
Income_Category_$40K - $60K + Marital_Status_Married,2,0.08057667621210625,816,0.1556372549019608
Utilization_Level_Low + Inactivity_Level_Moderate + Transaction_Amount_Level_Medium,3,0.08057667621210625,816,0.15073529411764705
Education_Level_Graduate + Income_Category_Less than $40K + Inactivity_Level_Moderate,3,0.0803791843586452,814,0.2199017199017199
Income_Category_Less than $40K + Age_Group_Middle + Marital_Status_Single,3,0.08018169250518416,812,0.18226600985221675
Inactivity_Level_Few + Utilization_Level_Medium,2,0.07988545472499259,809,0.03337453646477132
Transaction_Count_Level_Low + Inactivity_Level_Moderate + Utilization_Level_Medium,3,0.07978670879826207,808,0.23143564356435645
Transaction_Amount_Level_High + Utilization_Level_High + Transaction_Count_Level_High,3,0.07949047101807051,805,0.002484472049689441
Inactivity_Level_Few + Transaction_Count_Level_High,2,0.07949047101807051,805,0.004968944099378882
Transaction_Count_Level_Medium + Inactivity_Level_Few,2,0.07949047101807051,805,0.02981366459627329
Income_Category_Less than $40K + Age_Group_Middle + Transaction_Amount_Level_Medium,3,0.07939172509133999,804,0.09825870646766169
Income_Category_Less than $40K + Age_Group_Middle + Transaction_Count_Level_High,3,0.07939172509133999,804,0.008706467661691543
Utilization_Level_Medium + Inactivity_Level_Moderate + Transaction_Count_Level_High,3,0.07929297916460946,803,0.012453300124533
Utilization_Level_High + Transaction_Count_Level_Medium + Inactivity_Level_Moderate,3,0.07919423323787894,802,0.029925187032418952
Education_Level_Graduate + Transaction_Amount_Level_Low + Inactivity_Level_Moderate,3,0.07879924953095685,798,0.34461152882205515
Transaction_Count_Level_Medium + Marital_Status_Married + Transaction_Amount_Level_Medium,3,0.07879924953095685,798,0.010025062656641603
Utilization_Level_High + Inactivity_Level_Moderate + Transaction_Count_Level_High,3,0.07830551989730423,793,0.0012610340479192938
Utilization_Level_Medium + Age_Group_Middle + Transaction_Count_Level_High,3,0.07810802804384319,791,0.010113780025284451
Transaction_Count_Level_Low + Marital_Status_Single + Inactivity_Level_Moderate,3,0.07791053619038214,789,0.5297845373891001
Transaction_Amount_Level_High + Utilization_Level_High + Age_Group_Middle,3,0.07791053619038214,789,0.01394169835234474
Transaction_Amount_Level_High + Age_Group_Middle + Utilization_Level_Medium,3,0.07761429841019057,786,0.058524173027989825
Utilization_Level_High + Age_Group_Middle + Transaction_Count_Level_High,3,0.07741680655672953,784,0.0
Transaction_Amount_Level_High + Utilization_Level_High + Inactivity_Level_Moderate,3,0.07731806062999902,783,0.017879948914431672
Marital_Status_Single + Education_Level_High School,2,0.0772193147032685,782,0.15089514066496162
Transaction_Amount_Level_Low + Marital_Status_Single + Inactivity_Level_Moderate,3,0.07692307692307693,779,0.43517329910141206
Transaction_Amount_Level_High + Inactivity_Level_Moderate + Utilization_Level_Medium,3,0.07692307692307693,779,0.08729139922978177
Utilization_Level_Medium + Age_Group_Middle + Marital_Status_Single,3,0.0768243309963464,778,0.11053984575835475
Utilization_Level_High + Inactivity_Level_Few,2,0.0768243309963464,778,0.021850899742930592
Utilization_Level_Low + Age_Group_Young,2,0.0759356176557717,769,0.2717815344603381
Inactivity_Level_Few + Transaction_Amount_Level_Medium,2,0.07573812580231065,767,0.014341590612777053
Age_Group_Young + Transaction_Amount_Level_Medium,2,0.0755406339488496,765,0.07712418300653595
Transaction_Amount_Level_Low + Income_Category_Less than $40K + Inactivity_Level_Moderate,3,0.0755406339488496,765,0.4496732026143791
Utilization_Level_Low + Age_Group_Middle + Transaction_Amount_Level_Medium,3,0.07544188802211908,764,0.11910994764397906
Income_Category_Less than $40K + Inactivity_Level_Few,2,0.07544188802211908,764,0.0549738219895288
Transaction_Amount_Level_High + Education_Level_Graduate + Transaction_Count_Level_High,3,0.07544188802211908,764,0.01832460732984293
Utilization_Level_High + Age_Group_Middle + Transaction_Amount_Level_Medium,3,0.07534314209538856,763,0.061598951507208385
Age_Group_Young + Utilization_Level_Medium,2,0.07514565024192751,761,0.08541392904073587
Transaction_Count_Level_Medium + Income_Category_Less than $40K + Age_Group_Middle,3,0.07494815838846648,759,0.05928853754940711
Inactivity_Level_Moderate + Income_Category_Unknown,2,0.07494815838846648,759,0.19367588932806323
Education_Level_Graduate + Utilization_Level_Low + Inactivity_Level_Moderate,3,0.07425693690135282,752,0.34574468085106386
Income_Category_$80K - $120K + Age_Group_Middle + Inactivity_Level_Moderate,3,0.0741581909746223,751,0.19840213049267644
Age_Group_Young + Marital_Status_Single + Inactivity_Level_Moderate,3,0.0741581909746223,751,0.16511318242343542
Utilization_Level_High + Transaction_Count_Level_Low + Inactivity_Level_Moderate,3,0.0741581909746223,751,0.2996005326231691
Marital_Status_Unknown,1,0.07396069912116125,749,0.17222963951935916
Marital_Status_Divorced,1,0.07386195319443073,748,0.16176470588235295
Education_Level_Graduate + Age_Group_Young,2,0.07346696948750864,744,0.14650537634408603
Transaction_Count_Level_Medium + Income_Category_Less than $40K + Transaction_Amount_Level_Medium,3,0.07336822356077811,743,0.010767160161507403
